	Player,	Cost,	Sel,	Form,	PTS
	"
Rose
WATDEF"	4.2	0.3%	0.0	7
	"
Etebo
WATMID"	4.4	0.1%	0.0	7
	"
Diop
WHUDEF"	4.3	0.3%	1.4	7
	"
Vlasic
WHUMID"	5.7	0.0%	0.4	7
	"
Fabio Silva
WOLFWD"	5.6	0.4%	0.0	7
	"
Arrizabalaga
CHEGKP"	4.8	0.2%	0.0	6
	"
Barkley
CHEMID"	5.2	0.1%	0.0	6
	"
Delph
EVEMID"	4.4	0.3%	0.8	6
	"
Kelleher
LIVGKP"	4.3	0.1%	0.0	6
	"
Lennon
BURMID"	4.9	0.0%	0.5	5
	"
Winks
TOTMID"	4.4	1.2%	1.0	5
	"
Bryan
TOTMID"	5.7	0.1%	0.0	5
	"
Nkoulou
WATDEF"	4.5	0.0%	0.4	5
	"
Louza
WATMID"	5.2	0.0%	0.8	5
	"
Hoever
WOLDEF"	3.9	1.9%	0.4	5
	"
Leno
ARSGKP"	4.6	0.9%	0.0	4
	4.5	0.0%	0.4	4	
	"
Bertrand
LEIDEF"	4.6	0.4%	0.0	4
	"
Cresswell
LEEDEF"	4.0	0.4%	0.4	4
	"
Summerville
LEEMID"	4.5	0.1%	0.0	4
	"
N.Williams
LIVDEF"	3.9	0.7%	0.0	4
	"
Placheta
NORMID"	4.7	0.0%	0.6	4
	"
S.Armstrong
SOUMID"	5.8	0.1%	0.0	4
	"
Sanson
AVLMID"	5.0	0.0%	0.6	3
	"
Archer
AVLFWD"	4.5	1.3%	0.0	3
	"
Bidstrup
BREMID"	4.4	0.1%	0.0	3
	"
Alzate
BHAMID"	4.8	0.0%	0.0	3
	"
Connolly
BHAFWD"	5.3	0.1%	0.2	3
	"
Pieters
BURDEF"	4.2	0.1%	0.0	3
	"
Riedewald
CRYMID"	4.8	0.0%	0.0	3
	"
Mendy
MCIDEF"	5.3	0.3%	0.0	3
	"
Gayle
NEWFWD"	5.2	0.1%	0.0	3
	"
Sørensen
NORDEF"	4.3	0.0%	0.6	3
	"
Doherty
TOTDEF"	4.7	0.2%	0.3	3
	"
Kabasele
WATDEF"	4.3	0.0%	0.0	3
	"
Sierralta
WATDEF"	4.3	0.0%	0.0	3
	"
Fletcher
WATFWD"	4.9	0.2%	0.2	3
	"
Nketiah
ARSFWD"	5.4	0.1%	0.4	2
	"
Balogun
ARSFWD"	4.8	0.3%	0.0	2
	"
Steele
BHAGKP"	4.0	2.8%	0.5	2
	"
Sarmiento
BHAMID"	4.5	0.0%	0.5	2
	"
Saúl
CHEMID"	5.0	0.1%	0.0	2
	"
Clyne
CRYDEF"	4.3	0.1%	0.4	2
	"
Eze
CRYMID"	5.9	0.1%	0.4	2
	"
Mateta
CRYFWD"	5.2	0.1%	0.0	2
	"
Gbamin
EVEMID"	4.4	0.0%	0.0	2
	4.5	0.3%	0.0	2	
	"
Gomez
LIVDEF"	4.7	0.4%	0.0	2
	"
Deeney
WATFWD"	5.4	0.4%	0.0	2
	"
Cédric
ARSDEF"	4.2	0.2%	0.0	1
	"
Marí
ARSDEF"	4.2	0.1%	0.0	1
	"
Chambers
ARSDEF"	4.2	0.2%	0.0	1
	"
Holding
ARSDEF"	4.1	0.5%	0.2	1
	"
Nelson
ARSMID"	5.0	0.0%	0.0	1
	"
Steer
AVLGKP"	4.0	3.1%	0.0	1
	"
Philogene-Bidace
AVLMID"	5.0	0.0%	0.0	1
	"
Wesley
AVLFWD"	5.4	0.1%	0.0	1
	"
Davis
AVLFWD"	4.5	3.2%	0.0	1
	"
Sørensen
BREDEF"	4.3	0.0%	0.0	1
	"
Richards
BHAMID"	4.5	0.0%	0.0	1
	"
Locadia
BHAFWD"	4.4	2.2%	0.2	1
	"
Roberts
BURDEF"	4.5	0.0%	0.2	1
